 ,Area,Mean,Min,Max,Slice
1,443,5088.156,3382,6816,1
2,290,4619.883,3409,6133,1
3,361,4412.784,3383,5794,1
4,466,4382.142,3382,5724,1
5,306,4510.882,3386,5891,1
6,273,4430.194,3389,5749,1
7,296,4181.993,3382,5296,1
8,273,6064.286,3384,8467,1
9,330,4862.188,3392,6202,1
10,293,4494.939,3416,6183,1
11,343,4498.510,3391,5672,1
12,259,3839.039,3385,5058,1
13,292,4224.247,3394,5295,1
14,287,3942.700,3391,4661,1
15,349,4078.968,3382,5266,1
16,390,4105.772,3384,5346,1
17,340,4505.462,3397,5513,1
18,320,4582.556,3393,5983,1
19,343,4770.362,3392,6624,1
20,298,4334.510,3384,5393,1
21,363,4735.433,3382,6502,1
22,267,4146.569,3382,5097,1
23,376,4569.388,3396,5912,1
24,488,8317.219,3391,14583,1
25,355,4710.524,3386,6531,1
26,433,5075.048,3385,6989,1
27,303,4219.046,3385,5172,1
28,347,4283.268,3388,5170,1
29,352,4830.378,3382,6525,1
30,487,4937.337,3396,7033,1
31,295,4478.603,3389,5624,1
32,294,4273.680,3383,5229,1
33,333,4341.670,3385,5602,1
34,259,4782.023,3383,7241,1
35,278,6641.496,3470,10128,1
36,308,4159.500,3391,5360,1
37,347,4123.006,3382,5144,1
38,356,5069.699,3384,6915,1
39,351,4171.923,3392,5436,1
40,341,4059.217,3383,5007,1
41,221,3910.905,3385,4976,1
42,299,4218.722,3383,5222,1
43,461,4930.902,3407,6473,1
44,494,5063.721,3390,7505,1
45,354,4534.545,3383,5780,1
46,291,4941.086,3384,6651,1
47,356,4549.101,3387,5908,1
48,409,4004.787,3386,4944,1
49,296,5991.956,3388,8402,1
50,275,3825.185,3382,4580,1
51,354,4400.220,3383,5908,1
52,375,4650.827,3410,6224,1
53,356,5204.289,3409,7204,1
54,421,5620.444,3390,7321,1
55,399,4334.145,3383,5553,1
56,454,5155.857,3390,6662,1
57,335,5944.448,3420,8046,1
58,321,5414.819,3440,7168,1
59,403,4587.521,3407,5876,1
60,236,5275.610,3427,7973,1
61,342,5437.266,3387,6973,1
62,325,4273.674,3412,5327,1
63,385,5553.431,3387,7513,1
64,307,5150.805,3429,6851,1
65,288,4314.656,3388,6052,1
66,346,4779.578,3390,6582,1
67,477,5646.623,3397,8142,1
68,357,4865.471,3398,6328,1
69,284,4103.465,3386,5358,1
70,241,4341.087,3405,5493,1
71,436,5415.087,3395,6991,1
72,340,4152.735,3386,5067,1
73,314,5788.029,3404,7765,1
74,334,4203.751,3393,5583,1
75,356,4331.225,3384,5529,1
76,302,4201.467,3382,5216,1
